3.628s sys-module-fuse.device
 403ms ovsdb-server.service
 395ms ldconfig.service
 367ms systemd-hwdb-update.service
 361ms dracut-cmdline.service
 310ms initrd-cleanup.service
 281ms dracut-initqueue.service
 238ms NetworkManager-wait-online.service
 212ms systemd-tmpfiles-setup.service
 189ms systemd-vconsole-setup.service
 169ms rpm-ostreed.service
 165ms dev-hugepages.mount
 161ms dev-mqueue.mount
 157ms sys-kernel-debug.mount
 157ms coreos-printk-quiet.service
 153ms sys-kernel-tracing.mount
 149ms tmp.mount
 139ms ovs-vswitchd.service
 134ms kmod-static-nodes.service
 133ms modprobe@drm.service
 130ms lvm2-monitor.service
 130ms modprobe@efi_pstore.service
 118ms NetworkManager.service
 107ms crio-subid.service
 105ms console-login-helper-messages-gensnippet-ssh-keys.service
 102ms systemd-udevd.service
 100ms rpc-statd.service
  96ms systemd-tmpfiles-setup-dev.service
  88ms boot.mount
  83ms systemd-modules-load.service
  78ms systemd-network-generator.service
  77ms systemd-journal-flush.service
  67ms systemd-udev-trigger.service
  67ms systemd-sysusers.service
  62ms systemd-remount-fs.service
  56ms chronyd.service
  55ms systemd-logind.service
  54ms dracut-pre-udev.service
  53ms kubelet-cleanup.service
  51ms rpcbind.service
  50ms auditd.service
  47ms coreos-ignition-write-issues.service
  46ms coreos-platform-chrony-config.service
  43ms systemd-fsck@dev-disk-by\x2duuid-c9a41e02\x2d2433\x2d4dfe\x2d81a0\x2d2997a2a5fcb5.service
  43ms systemd-journald.service
  43ms dracut-shutdown.service
  40ms rpc-statd-notify.service
  36ms dbus-broker.service
  32ms dracut-pre-trigger.service
  30ms sshd.service
  28ms aws-kubelet-nodename.service
  27ms systemd-sysctl.service
  27ms dracut-pre-mount.service
  27ms kubelet-auto-node-size.service
  24ms nmstate.service
  24ms initrd-udevadm-cleanup-db.service
  24ms systemd-update-utmp-runlevel.service
  23ms systemd-fsck-root.service
  19ms dracut-pre-pivot.service
  19ms systemd-journal-catalog-update.service
  16ms sys-kernel-config.mount
  16ms wait-for-primary-ip.service
  15ms nmstate-configuration.service
  14ms aws-kubelet-providerid.service
  14ms sys-fs-fuse-connections.mount
  13ms node-valid-hostname.service
  12ms dracut-mount.service
  10ms initrd-parse-etc.service
  10ms ovs-delete-transient-ports.service
   9ms systemd-update-utmp.service
   9ms systemd-random-seed.service
   8ms systemd-boot-update.service
   8ms systemd-user-sessions.service
   8ms systemd-update-done.service
   8ms rhsmcertd.service
   4ms ostree-remount.service
   4ms modprobe@configfs.service
   4ms var.mount
   3ms modprobe@fuse.service
   1ms openvswitch.service
